record_id,date,year,month,period_label,life_phase,journey_theme,role_context,activity_focus,technical_focus,time_invested_hours,practice_sessions,estimated_outputs_count,difficulty_score_1_5,confidence_score_1_5,stress_score_1_5,energy_score_1_5,support_score_1_5,motivation_score_1_5,skill_growth_score_1_5,outcome_score_1_5,ethics_awareness_score_1_5,impact_scope_score_1_5,key_challenge,coping_strategy,decision_area,moment_type,short_reflection,data_source_type,privacy_level
HGJ020,01/07/2020,2020,7,2020-07,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",22,9,1,3,3,3,3,2,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Started seeing data skills as a possible career path.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ021,01/08/2020,2020,8,2020-08,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",16,10,1,3,3,3,3,2,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Practiced spreadsheet basics for simple tracking.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ022,01/09/2020,2020,9,2020-09,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",18,11,1,3,3,3,3,2,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Learned to summarize information more clearly.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ023,01/10/2020,2020,10,2020-10,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",20,7,1,3,3,3,3,2,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Improved discipline through repeated practice.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ024,01/11/2020,2020,11,2020-11,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",22,8,1,3,3,3,3,2,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Became more comfortable with independent learning.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ025,01/12/2020,2020,12,2020-12,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",16,9,1,4,3,4,2,2,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,challenge,Reflected on resilience and long-term goals.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ026,01/01/2021,2021,1,2021-01,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",18,8,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Continued learning English and digital tools.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ027,01/02/2021,2021,2,2021-02,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",20,9,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Built confidence through small completed tasks.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ028,01/03/2021,2021,3,2021-03,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",22,10,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Practiced using spreadsheets to organize information.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ029,01/04/2021,2021,4,2021-04,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",16,11,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Started focusing more on research and community data.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ030,01/04/2021,2021,4,2021-04,Service and community growth,Volunteering,Volunteer caregiver/support role,Supported personal-growth activities for a disability-focused association,"Caregiving, communication, patience",12,4,1,3,3,3,4,4,4,3,4,4,3,Emotional responsibility,Used patience and respectful support,Human-centered work,reflection,Learned that data and development work should stay connected to human dignity.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ031,01/05/2021,2021,5,2021-05,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",18,7,1,4,3,4,2,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,challenge,Balanced motivation with uncertainty.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ032,01/06/2021,2021,6,2021-06,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",20,8,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Prepared for more practical field and community work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ033,01/07/2021,2021,7,2021-07,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",22,9,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Improved confidence in communication and documentation.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ034,01/08/2021,2021,8,2021-08,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",16,10,1,3,3,3,3,3,4,3,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Transitioned toward applied community-development work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ035,01/09/2021,2021,9,2021-09,Community development and field research exposure,Field research,Field and community data worker,Questionnaire design for community interviews,"Survey design, field planning, Excel",28,11,2,3,3,3,3,4,4,3,4,4,3,Field uncertainty and data consistency,Used structured records and planning,Work quality,reflection,Started field-oriented community and environmental data work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ036,01/10/2021,2021,10,2021-10,Community development and field research exposure,Field research,Field and community data worker,Community perception data collection,"Field research, data collection",28,12,2,3,3,3,3,4,4,3,4,4,3,Field uncertainty and data consistency,Used structured records and planning,Work quality,steady,Learned how field context shapes data quality.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ037,01/11/2021,2021,11,2021-11,Community development and field research exposure,Field research,Field and community data worker,Web-based database maintenance,"Database tracking, Excel",28,13,2,3,3,3,3,4,4,3,4,4,3,Field uncertainty and data consistency,Used structured records and planning,Work quality,steady,Maintained structured records for community-level findings.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ038,01/12/2021,2021,12,2021-12,Community development and field research exposure,Field research,Field and community data worker,Training expense and field-trip budget analysis,"Budget tracking, Excel",28,10,3,3,3,3,3,4,4,3,4,4,3,Field uncertainty and data consistency,Used structured records and planning,Work quality,steady,Connected budgeting tasks with program accountability.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ039,01/01/2022,2022,1,2022-01,Community development and field research exposure,Field research,Field and community data worker,Community data organization,"Database tracking, reporting",28,11,2,3,4,3,3,4,5,4,4,3,4,Field uncertainty and data consistency,Used structured records and planning,Work quality,steady,Improved confidence in organizing multi-location information.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ040,01/02/2022,2022,2,2022-02,Community development and field research exposure,Field research,Field and community data worker,Community development preparation,"Research methods, reflection",28,12,2,3,4,3,3,4,5,4,4,3,4,Field uncertainty and data consistency,Used structured records and planning,Work quality,steady,Prepared for deeper study in community development.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ041,01/03/2022,2022,3,2022-03,Community development and field research exposure,Education and field research,Field and community data worker,Postgraduate diploma coursework,"Community development, human rights",28,13,2,4,4,4,3,4,5,4,4,4,4,Work-study balance,Used structured records and planning,Time management,challenge,Started postgraduate community-development learning.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ042,01/04/2022,2022,4,2022-04,Community development and field research exposure,Education and field research,Field and community data worker,Field data and coursework balance,"Survey design, community development",28,10,2,3,4,3,3,4,5,4,4,4,4,Field uncertainty and data consistency,Used structured records and planning,Time management,steady,Balanced study with field and project tasks.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ043,01/05/2022,2022,5,2022-05,Community development and field research exposure,Education and field research,Field and community data worker,Community findings summary,"Reporting, Excel",28,11,2,3,4,3,3,4,5,4,4,4,4,Field uncertainty and data consistency,Used structured records and planning,Time management,steady,Learned to communicate findings in simpler language.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ044,01/06/2022,2022,6,2022-06,Community development and field research exposure,Education and field research,Field and community data worker,Training budget review,"Budget tracking, accountability",28,12,3,3,4,4,3,4,5,4,4,4,4,Field uncertainty and data consistency,Used structured records and planning,Time management,steady,Handled more responsibility in planning and expense tracking.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ045,01/07/2022,2022,7,2022-07,Community development and field research exposure,Education and field research,Field and community data worker,Work-study balance,Time management,24,13,2,4,4,5,3,4,5,4,4,4,4,Work-study balance,Used structured records and planning,Time management,challenge,Faced workload pressure from overlapping study and work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ046,01/08/2022,2022,8,2022-08,Community development and field research exposure,Education and field research,Field and community data worker,Responsible community data use,"Data ethics, anonymization",24,10,2,3,4,3,3,4,5,4,4,4,4,Field uncertainty and data consistency,Used structured records and planning,Time management,reflection,Improved ethical awareness around community data.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ047,01/09/2022,2022,9,2022-09,Community development and field research exposure,Education and field research,Field and community data worker,Field project transition,"Research methods, field coordination",28,11,2,3,4,3,3,4,5,4,4,4,4,Field uncertainty and data consistency,Used structured records and planning,Time management,reflection,Closed field phase with stronger practical research skills.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ048,01/10/2022,2022,10,2022-10,Research methods and community-development grounding,Education,Postgraduate learner,Community development analysis,"Human rights, research methods",25,10,1,3,3,3,3,4,4,4,4,4,4,Career transition uncertainty,Connected study outputs with career goals,Career preparation,steady,Strengthened understanding of human rights and community development.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ049,01/11/2022,2022,11,2022-11,Research methods and community-development grounding,Education,Postgraduate learner,Research design and advocacy thinking,"Research methods, analysis",28,11,1,3,3,3,3,4,4,4,4,4,4,Career transition uncertainty,Connected study outputs with career goals,Career preparation,steady,Practiced linking social issues with evidence.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ050,01/12/2022,2022,12,2022-12,Research methods and community-development grounding,Education,Postgraduate learner,Postgraduate assignments,"Academic writing, reflection",22,8,1,3,3,4,3,4,4,4,4,4,4,Academic completion pressure,Connected study outputs with career goals,Career preparation,steady,Prepared academic outputs and reflected on impact.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ051,01/01/2023,2023,1,2023-01,Research methods and community-development grounding,Education,Postgraduate learner,Diploma completion preparation,"Community development, writing",25,9,1,4,4,4,3,4,4,4,4,4,4,Academic completion pressure,Connected study outputs with career goals,Career preparation,steady,Focused on finishing postgraduate requirements.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ052,01/02/2023,2023,2,2023-02,Research methods and community-development grounding,Education,Postgraduate learner,Postgraduate diploma completion,"Research methods, human rights",28,10,1,4,4,4,3,4,4,4,4,4,4,Academic completion pressure,Connected study outputs with career goals,Career preparation,reflection,Completed postgraduate learning phase.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ053,01/03/2023,2023,3,2023-03,Research methods and community-development grounding,Education,Postgraduate learner,Career transition planning,"Resume building, data tools",22,11,1,3,4,3,3,4,4,4,4,4,4,Career transition uncertainty,Connected study outputs with career goals,Career preparation,reflection,Transitioned from study toward research/data roles.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ054,01/04/2023,2023,4,2023-04,Research methods and community-development grounding,Education,Postgraduate learner,Technical skills refresh,"SPSS, Excel, ODK basics",25,8,1,3,4,3,3,4,4,4,4,4,4,Career transition uncertainty,Connected study outputs with career goals,Career preparation,steady,Reviewed technical tools needed for research work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ055,01/05/2023,2023,5,2023-05,Research methods and community-development grounding,Education,Postgraduate learner,Research data preparation,"Data cleaning, survey workflow",28,9,1,3,4,3,3,4,4,4,4,4,4,Career transition uncertainty,Connected study outputs with career goals,Career preparation,steady,Prepared to move into more specialized data work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ056,01/06/2023,2023,6,2023-06,Research methods and community-development grounding,Education,Postgraduate learner,Professional communication practice,"Reporting, communication",22,10,1,3,4,3,3,4,4,4,4,4,4,Career transition uncertainty,Connected study outputs with career goals,Career preparation,reflection,Practiced explaining technical work clearly.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ057,01/06/2023,2023,6,2023-06,Service and community growth,Volunteering,Research mentor,Mentored diploma students on quantitative research theses,"Research methods, mentoring",16,5,5,3,4,3,4,4,5,4,5,4,4,Explaining methods simply,Used examples and step-by-step guidance,Mentoring,breakthrough,Mentoring strengthened my ability to explain research methods clearly.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ058,01/07/2023,2023,7,2023-07,Research firm and digital survey specialization,Data management Work,Research data assistant,ODK questionnaire deployment,"ODK, survey design, questionnaire testing",36,14,3,4,3,4,3,4,5,4,4,4,4,High responsibility in a short role,"Prepared, tested, and documented work carefully",Technical skills,breakthrough,Created and deployed digital questionnaires for research tasks.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ059,01/08/2023,2023,8,2023-08,Research firm and digital survey specialization,Data management Work,Research data assistant,Enumerator training support,"CAPI training, field coordination",36,16,4,4,4,5,3,4,5,4,4,4,4,High responsibility in a short role,"Prepared, tested, and documented work carefully",Technical skills,challenge,Supported training for many enumerators and learned coordination pressure.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ060,01/09/2023,2023,9,2023-09,Research firm and digital survey specialization,Data management Work,Research data assistant,Research data cleaning,"SPSS, data cleaning, validation",34,14,3,5,4,4,3,4,5,4,4,4,4,High responsibility in a short role,"Prepared, tested, and documented work carefully",Technical skills,breakthrough,Cleaned migration-related research data and improved SPSS workflow.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ061,01/10/2023,2023,10,2023-10,Data Management Work,Data management Work,Humanitarian data officer,Humanitarian data quality workflow,"R, Excel, data cleaning, QA",38,15,3,4,4,4,4,4,5,4,4,4,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Work quality,challenge,Adjusted to humanitarian data standards and quality expectations.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ062,01/11/2023,2023,11,2023-11,Data Management Work,Data management Work,Humanitarian data officer,Automated cleaning scripts,"R, reproducible workflow",34,13,4,4,4,3,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Efficiency,breakthrough,Started using R scripts to reduce repetitive data cleaning work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ063,01/12/2023,2023,12,2023-12,Data Management Work,Data management Work,Humanitarian data officer,Quantitative analysis support,"R, statistics, reporting",34,13,3,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Data analysis,steady,Built confidence supporting quantitative outputs for assessment work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ064,01/01/2024,2024,1,2024-01,Data Management Work,Data management Work,Humanitarian data officer,Assessment tool support,"KoboToolbox, ODK, sampling",34,13,3,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Survey design,steady,Supported questionnaire tools and sampling-related preparation.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ065,01/02/2024,2024,2,2024-02,Data Management Work,Data management Work,Humanitarian data officer,Data discrepancy resolution,"R, Excel, validation checks",34,13,4,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Work quality,breakthrough,Improved ability to resolve discrepancies across datasets.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ066,01/02/2024,2024,2,2024-02,Service and community growth,Volunteering,Public-interest enumeration,Supported monitoring of infants in underserved areas,"Field enumeration, data quality",14,4,2,4,4,4,3,4,5,4,4,5,5,Sensitive population data,Followed careful and respectful data collection,Ethical practice,reflection,This reinforced the importance of privacy and careful field data practice.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ067,01/03/2024,2024,3,2024-03,Data Management Work,Data management Work,Humanitarian data officer,Workflow documentation,"R, Git, documentation",34,13,3,3,4,3,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Efficiency,steady,Created clearer workflow documentation for repeated tasks.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ068,01/04/2024,2024,4,2024-04,Data Management Work,Data management Work,Humanitarian data officer,Formatted quantitative findings,"Statistics, reporting",34,13,3,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Data communication,steady,Practiced communicating statistical results to support findings.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ069,01/05/2024,2024,5,2024-05,Data Management Work,Data management Work,Humanitarian data officer,Dashboard comparison work,"Tableau, visualization design",34,13,4,4,4,3,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Data visualization,breakthrough,Worked on dashboard thinking and visual comparison across rounds.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ070,01/06/2024,2024,6,2024-06,Data Management Work,Data management Work,Humanitarian data officer,High workload and deadlines,"R, prioritization",28,13,3,5,3,5,3,4,4,3,3,3,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Wellbeing,setback,Faced workload pressure while trying to keep analysis quality high.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ071,01/06/2024,2024,6,2024-06,Youth empowerment and digital learning,Project,Digital literacy project contributor,Supported digital literacy and AI learning for youth,"Digital literacy, AI education, project planning",18,6,2,4,4,3,4,4,5,4,4,4,4,Making content practical,Focused on learner-friendly structure,Education technology,steady,This connected data/AI interests with youth learning opportunities.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ072,01/07/2024,2024,7,2024-07,Data Management Work,Data management Work,Humanitarian data officer,Work-study planning,"Time management, planning",34,13,3,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Time management,reflection,Prepared for university transition while maintaining professional work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ073,01/08/2024,2024,8,2024-08,"University, Data Management Work",Work-study growth,Humanitarian data officer,University statistics and data science start,"Statistics, Python, academic writing",38,15,3,4,3,4,4,4,4,4,4,4,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Learning strategy,challenge,Started statistics and data science university learning.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ074,01/09/2024,2024,9,2024-09,"University, Data Management Work",Work-study growth,Humanitarian data officer,Academic and work integration,"Python, statistics, R",34,13,3,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Learning transfer,steady,Connected university learning with humanitarian data practice.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ075,01/10/2024,2024,10,2024-10,"University, Data Management Work",Work-study growth,Humanitarian data officer,Data visualization coursework,"D3.js, Python, visualization",38,15,3,5,3,4,4,4,4,4,4,4,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Data visualization,challenge,Expanded dashboard and visualization thinking through coursework.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ076,01/11/2024,2024,11,2024-11,"University, Data Management Work",Work-study growth,Humanitarian data officer,Data storytelling practice,"Visualization, writing",34,13,4,3,4,3,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Communication,breakthrough,Improved ability to explain data stories for decision-making.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ077,01/12/2024,2024,12,2024-12,"University, Data Management Work",Work-study growth,Humanitarian data officer,Responsible data reflection,"Data ethics, privacy",34,13,3,3,4,3,4,4,5,4,4,5,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Ethical practice,reflection,Reflected on ethical limits of self-reported and humanitarian data.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ078,01/01/2025,2025,1,2025-01,Data Management Work,Data management Work,Humanitarian data officer,Monitoring dashboard development,"Power BI, R, data pipeline",34,13,3,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Dashboarding,steady,Strengthened dashboard workflow for monitoring and follow-up.,resume_and_memory_based_estimate,anonymized_personal_growth_data
